ds;Open;High;Low;Vol.;Change %;Year;Month;Day;unique_id;Day name;y
2023-02-03 00:00:00;7136.4;7233.94;7113.42;89.99M;0.0094;2023;2;3;3124;6;7233.94
2023-02-04 00:00:00;7136.4;7233.94;7113.42;89.99M;0.0094;2023;2;3;3125;6;7220.93136
2023-02-05 00:00:00;7136.4;7233.94;7113.42;89.99M;0.0094;2023;2;3;3126;6;7170.50094
2023-02-06 00:00:00;7181.97;7187.27;7104.52;68.29M;-0.0134;2023;2;6;3127;2;7137.1
2023-02-07 00:00:00;7145.84;7154.51;7108.46;73.51M;-0.0007;2023;2;7;3128;3;7132.35
2023-02-08 00:00:00;7181.58;7190.86;7119.83;84.75M;-0.0018;2023;2;8;3129;4;7119.83
2023-02-09 00:00:00;7179.64;7225.88;7179.64;81.78M;0.0096;2023;2;9;3130;5;7188.36
2023-02-10 00:00:00;7165.41;7182.92;7074.63;79.15M;-0.0082;2023;2;10;3131;6;7129.73
2023-02-11 00:00:00;7165.41;7182.92;7074.63;79.15M;-0.0082;2023;2;10;3132;6;7153.036847
2023-02-12 00:00:00;7165.41;7182.92;7074.63;79.15M;-0.0082;2023;2;10;3133;6;7184.389529
2023-02-13 00:00:00;7147.48;7213.94;7138.91;57.94M;0.0111;2023;2;13;3134;2;7208.59
2023-02-14 00:00:00;7225.3;7271.48;7204.51;73.28M;0.0007;2023;2;14;3135;3;7213.81
2023-02-15 00:00:00;7206.83;7318.78;7200.73;75.50M;0.0121;2023;2;15;3136;4;7300.86
2023-02-16 00:00:00;7346.3;7387.29;7325.75;91.73M;0.0089;2023;2;16;3137;5;7366.16
2023-02-17 00:00:00;7311.14;7368;7267.77;80.23M;-0.0025;2023;2;17;3138;6;7347.72
2023-02-18 00:00:00;7311.14;7368;7267.77;80.23M;-0.0025;2023;2;17;3139;6;7344.602348
2023-02-19 00:00:00;7311.14;7368;7267.77;80.23M;-0.0025;2023;2;17;3140;6;7343.548339
2023-02-20 00:00:00;7361.21;7363.41;7318.73;48.62M;-0.0016;2023;2;20;3141;2;7335.61
2023-02-21 00:00:00;7319.93;7342.68;7241.21;68.75M;-0.0037;2023;2;21;3142;3;7308.65
2023-02-22 00:00:00;7282.49;7307.82;7231.63;83.81M;-0.0013;2023;2;22;3143;4;7299.26
2023-02-23 00:00:00;7309.03;7357.68;7301.42;79.94M;0.0025;2023;2;23;3144;5;7317.43
